time,thrust
3.71,1245.462891
3.72,1222.444824
3.73,1257.905151
3.74,1236.131226
3.75,1210.624756
3.76,1210.002686
3.77,1238.619751
3.78,1214.979614
3.79,1215.601685
3.8,1228.043823
3.81,1233.020752
3.82,1231.154419
3.83,1236.753418
3.84,1231.154419
3.85,1238.619751
3.86,1226.799683
3.87,1233.020752
3.88,1226.799683
3.89,1231.776489
3.9,1244.21875
3.91,1216.223755
3.92,1220.578491
3.93,1218.090088
3.94,1238.619751
3.95,1234.887085
3.96,1231.776489
3.97,1219.956421
3.98,1240.486084
3.99,1237.375488
4,1226.17749
4.01,1233.020752
4.02,1222.444824
4.03,1231.776489
4.04,1191.339355
4.05,1203.781616
4.06,1198.182617
4.07,1186.984619
4.08,1207.514282
4.09,1208.136353
4.1,1216.223755
4.11,1233.642822
4.12,1218.71228
4.13,1210.002686
4.14,1205.025757
4.15,1189.473145
4.16,1194.449951
4.17,1219.334351
4.18,1203.781616
4.19,1209.380615
4.2,1208.136353
4.21,1203.159546
4.22,1191.339355
4.23,1198.182617
4.24,1218.090088
4.25,1193.205688
4.26,1215.601685
4.27,1182.629883
4.28,1205.025757
4.29,1180.76355
4.3,1208.758423
4.31,1201.915283
4.32,1201.915283
4.33,1196.938354
4.34,1203.159546
4.35,1205.025757
4.36,1199.42688
4.37,1197.560547
4.38,1193.827881
4.39,1205.647949
4.4,1186.984619
4.41,1187.606812
4.42,1196.316284
4.43,1194.449951
4.44,1195.072021
4.45,1191.961548
4.46,1193.827881
4.47,1183.251953
4.48,1190.717285
4.49,1185.740479
4.5,1173.298218
4.51,1175.164551
4.52,1172.676147
4.53,1187.606812
4.54,1188.228882
4.55,1183.874146
4.56,1172.676147
4.57,1169.565552
4.58,1175.164551
4.59,1164.588745
4.6,1160.233887
4.61,1162.10022
4.62,1176.408813
4.63,1172.054077
4.64,1152.768677
4.65,1154.63501
4.66,1167.077148
4.67,1185.118286
4.68,1155.25708
4.69,1160.233887
4.7,1153.390747
4.71,1168.943481
4.72,1182.629883
4.73,1154.63501
4.74,1154.012817
4.75,1148.413818
4.76,1151.524414
4.77,1154.012817
4.78,1144.059082
4.79,1182.007813
4.8,1172.054077
4.81,1154.63501
4.82,1184.496216
4.83,1144.059082
4.84,1160.233887
4.85,1165.832886
4.86,1168.321411
4.87,1141.570679
4.88,1160.856079
4.89,1168.943481
4.9,1160.856079
4.91,1143.437012
4.92,1158.989746
4.93,1166.455078
4.94,1145.303345
4.95,1162.722412
4.96,1129.128418
4.97,1155.25708
4.98,1147.791748
4.99,1122.907349
5,1160.856079
5.01,1168.321411
5.02,1160.856079
5.03,1155.87915
5.04,1161.478149
5.05,1155.25708
5.06,1144.681152
5.07,1131.616943
5.08,1135.97168
5.09,1144.681152
5.1,1133.483276
5.11,1154.63501
5.12,1135.97168
5.13,1128.506348
5.14,1138.460083
5.15,1137.838013
5.16,1137.838013
5.17,1149.658081
5.18,1130.372681
5.19,1141.570679
5.2,1144.059082
5.21,1134.105347
5.22,1134.105347
5.23,1137.838013
5.24,1154.63501
5.25,1126.640015
5.26,1109.84314
5.27,1143.437012
5.28,1119.796875
5.29,1109.84314
5.3,1121.041016
5.31,1112.953613
5.32,1105.488281
5.33,1134.105347
5.34,1116.686279
5.35,1099.889282
5.36,1106.732544
5.37,1102.999878
5.38,1117.930542
5.39,1106.110474
5.4,1087.447144
5.41,1124.151611
5.42,1132.861084
5.43,1098.022949
5.44,1096.778809
5.45,1116.064209
5.46,1102.999878
5.47,1135.349609
5.48,1120.418945
5.49,1109.84314
5.5,1114.819946
5.51,1091.80188
5.52,1100.511475
5.53,1100.511475
5.54,1118.552612
5.55,1119.796875
5.56,1103.621948
5.57,1092.424072
5.58,1111.709473
5.59,1109.84314
5.6,1114.819946
5.61,1094.290405
5.62,1117.930542
5.63,1102.377808
5.64,1102.999878
5.65,1099.267212
5.66,1107.976807
5.67,1090.557739
5.68,1085.580811
5.69,1093.668213
5.7,1102.999878
5.71,1099.267212
5.72,1098.645142
5.73,1079.981812
5.74,1068.161743
5.75,1076.871338
5.76,1083.714478
5.77,1096.778809
5.78,1095.534546
5.79,1091.80188
5.8,1107.354614
5.81,1051.986938
5.82,1103.621948
5.83,1089.313477
5.84,1096.156738
5.85,1072.516479
5.86,1075.005005
5.87,1081.848145
5.88,1088.691406
5.89,1087.447144
5.9,1076.871338
5.91,1051.986938
5.92,1070.650146
5.93,1061.940674
5.94,1067.539673
5.95,1060.696411
5.96,1065.67334
5.97,1071.272339
5.98,1079.359741
5.99,1075.627075
6,1071.272339
6.01,1073.760742
6.02,1096.778809
6.03,1071.894409
6.04,1064.429077
6.05,1050.120605
6.06,1055.719604
6.07,1062.562744
6.08,1055.719604
6.09,1058.830078
6.1,1066.29541
6.11,1072.516479
6.12,1043.277344
6.13,1061.940674
6.14,1052.609009
6.15,1066.29541
6.16,1046.387939
6.17,1046.387939
6.18,1045.143677
6.19,1049.498535
6.2,1070.028076
6.21,1048.876343
6.22,1051.986938
6.23,1036.434204
6.24,1042.655273
6.25,1038.300537
6.26,1051.986938
6.27,1044.521606
6.28,1067.539673
6.29,1038.300537
6.3,1068.161743
6.31,1032.701538
6.32,1065.67334
6.33,1059.452271
6.34,1015.282471
6.35,1025.236206
6.36,1022.125671
6.37,1014.660339
6.38,1043.899536
6.39,1049.498535
6.4,1037.678345
6.41,1022.747803
6.42,1019.637207
6.43,1019.637207
6.44,1057.585938
6.45,1040.78894
6.46,1042.655273
6.47,1012.794006
6.48,1021.50354
6.49,1036.434204
6.5,1055.719604
6.51,1046.387939
6.52,1051.364868
6.53,1055.097412
6.54,1014.038269
6.55,1049.498535
6.56,1020.88147
6.57,987.287537
6.58,1002.21814
6.59,1023.369873
6.6,1009.683472
6.61,1020.88147
6.62,1004.084473
6.63,1010.305603
6.64,971.112671
6.65,976.71167
6.66,953.071533
6.67,949.960999
6.68,943.117798
6.69,917.611267
6.7,898.947998
6.71,884.639526
6.72,857.888794
6.73,851.667725
6.74,837.981323
6.75,795.677856
6.76,795.055725
6.77,759.59552
6.78,734.08905
6.79,727.86792
6.8,704.227783
6.81,670.01178
6.82,648.860046
6.83,613.399841
6.84,621.487244
6.85,596.602844
6.86,576.073242
6.87,559.898438
6.88,539.368835
6.89,515.106567
6.9,525.682434
6.91,500.175934
6.92,489.600067
6.93,511.996002
6.94,492.710602
6.95,465.337799
6.96,476.535767
6.97,477.779968
6.98,454.139832
